Organism,BioProject,BioSample,Run,LibraryName,refGenome
Takifugu_rubripes,PRJNA522329,SAMN10928628,SRR8585991,R31,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928622,SRR8585993,R24,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928623,SRR8585994,R25,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928620,SRR8585995,R22,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928621,SRR8585996,R23,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928627,SRR8585998,R29,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928625,SRR8586000,R27,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928617,SRR8586001,R19,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928616,SRR8586002,R18,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928615,SRR8586003,R17,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928613,SRR8586005,R15,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928612,SRR8586006,R14,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928611,SRR8586007,R13,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928610,SRR8586008,R12,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928619,SRR8586009,R21,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928618,SRR8586010,R20,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928601,SRR8586012,R01,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928602,SRR8586013,R02,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928603,SRR8586014,R03,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928604,SRR8586015,R04,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928605,SRR8586016,R07,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928606,SRR8586017,R08,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928607,SRR8586018,R09,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928608,SRR8586019,R10,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928609,SRR8586020,R11,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928626,SRR8585997,R28,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928624,SRR8585999,R26,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928629,SRR8585992,R32,GCF_901000725.2
Takifugu_rubripes,PRJNA522329,SAMN10928614,SRR8586004,R16,GCF_901000725.2
