Organism,BioProject,BioSample,Run,LibraryName,refGenome
Takifugu_obscurus,PRJNA522329,SAMN10928600,SRR8586011,OO40,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928599,SRR8586021,OO39,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928598,SRR8586022,OO38,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928595,SRR8586023,OO34,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928594,SRR8586024,OO33,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928597,SRR8586025,OO37,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928596,SRR8586026,OO36,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928591,SRR8586027,OO28,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928593,SRR8586029,OO32,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928592,SRR8586030,OO30,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928588,SRR8586031,OO25,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928589,SRR8586032,OO26,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928586,SRR8586033,OO23,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928587,SRR8586034,OO24,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928584,SRR8586035,OO21,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928585,SRR8586036,OO22,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928582,SRR8586037,OO19,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928583,SRR8586038,OO20,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928580,SRR8586039,OO17,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928581,SRR8586040,OO18,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928579,SRR8586041,OO16,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928578,SRR8586042,OO15,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928573,SRR8586043,OO08,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928572,SRR8586044,OO07,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928571,SRR8586045,OO06,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928577,SRR8586047,OO14,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928576,SRR8586048,OO12,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928575,SRR8586049,OO10,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928574,SRR8586050,OO09,GCA_016584745.1
Takifugu_obscurus,PRJNA522329,SAMN10928590,SRR8586028,OO27,GCA_016584745.1
