BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	sub_species	use_species
PRJEB21643	ERR2026385	WGS	SAMEA104152058	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085518	Illumina HiSeq 2000	HISEQ:66:C24CPACXX	PAIRED	PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152058	ERP023915	ERS1811076	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:07:06Z	public	ERS1811076	Pcol01	Pcol1	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026730	WGS	SAMEA104152947	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085863	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152947	ERP023915	ERS1811965	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:06:40Z	public	ERS1811965	Pcol02	Pcol02	NA	ERC000011	abietinus	1
PRJEB21643	ERR2026731	WGS	SAMEA104152948	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085864	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152948	ERP023915	ERS1811966	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811966	Pcol04	Pcol04	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026732	WGS	SAMEA104152949	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085865	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152949	ERP023915	ERS1811967	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811967	Pcol06	Pcol06	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026733	WGS	SAMEA104152950	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085866	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152950	ERP023915	ERS1811968	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811968	Pcol07	Pcol07	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026734	WGS	SAMEA104152951	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085867	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152951	ERP023915	ERS1811969	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811969	Pcol09	Pcol09	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026735	WGS	SAMEA104152952	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085868	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152952	ERP023915	ERS1811970	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811970	Pcol10	Pcol10	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026736	WGS	SAMEA104152953	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085869	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152953	ERP023915	ERS1811971	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811971	Pcol11	Pcol11	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026737	WGS	SAMEA104152954	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085870	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152954	ERP023915	ERS1811972	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811972	Pcol12	Pcol12	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026738	WGS	SAMEA104152955	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085871	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152955	ERP023915	ERS1811973	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:29:55Z	public	ERS1811973	Pcol03	Pcol03	Abeitinus\, allopatry	ERC000011	abietinus	1
